i ve got some code in window scroll that checks if an element is visible then triggers another function however only the first section of code is firing both bits of code work in and of themselves if i swap their order whichever is on top fires correctly my code is as follows fn isonscreen function use strict var win window viewport top win scrolltop left win scrollleft bounds this offset viewport right viewport left + win width viewport bottom viewport top + win height bounds right bounds left + this outerwidth bounds bottom bounds top + this outerheight return viewport right lt bounds left viewport left gt bounds right viewport bottom lt bounds top viewport top gt bounds bottom window scroll function use strict var load_more_results ajax load_more_results isonscreen if load_more_results true loadmoreresults var load_more_staff ajax load_more_staff isonscreen if load_more_staff true loadmorestaff what am i doing wrong can you only fire one event from window scroll i assume not 	javascript jquery
i have a custom adapter for a list view it has 3 fields a thumbnail and two text fields once the layout is inflated the thumbnails are downloaded from an external server how do i change the functionality so that the images are downloaded only when the user scrolls down override public view getview int position view convertview viewgroup parent inflate the layout layoutinflater inflater layoutinflater context getsystemservice context layout_inflater_service view rowview inflater inflate r layout list_single parent false imageview image imageview rowview findviewbyid r id picture textview firstline textview rowview findviewbyid r id firstline textview secondline textview rowview findviewbyid r id secondline get information about the report animallocationlog current objects get position get all the important information string species current getspecies string sanitizedspecies mischelpers sanitizestring species int reportid objects get position gettrackerid construct the url to the image string imagelocation websiteurl + sanitizedspecies + separator + reportid + extension display user report downloader download imagelocation image firstline settext species secondline settext spotted + current getdatetime tostring yyyy mm dd h m return rowview 	android
in my form panel i added a checkbox setting stateful true stateid loginpanelremeberme then before sending form i save state calling this savestate on the panel all other componenets save their state and whe i reload the page they recall the previous state but checkbox alway start in unchecked state is there any way to force save value 	javascript
i have the two dates variables startwork and endwork i need to define whether person includes worked in the period from 23 hours to 05 hours for example startwork hour endwork hour result 21 5 yes 22 3 yes 12 21 no 23 8 yes 21 8 yes 7 9 no my code if startwork hour gt 23 amp amp startwork hour lt 5 return true if endwork hour gt 23 amp amp endwork hour lt 5 return true but this code is not coverage all variants 	c#
i might have been using the wrong search tags but here it goes in the app i m developing the user is able to upload pictures and videos this through recording or gallery i m currently trying to show a video which the user just recorded i m taking the uri from intent getdata after an intent with mediastore action_video_capture public void getcameravideo intent takevideointent new intent mediastore action_video_capture if takevideointent resolveactivity ctx getpackagemanager null ctx startactivityforresult takevideointent fetcher_videocamera else toast maketext ctx language translate error_phone_has_no_camera_app toast length_long show errorclass log tried to take video but phone has no camera so i have this content uri to my video now how should i get about into playing this video in an videoview i can t seem to find any decent solution to this issue i simply tried this in the activity where i m showing the video but it just results in a black videoview view new videoview activity videoview view setvideouri uri videoview view start i m sure someone solved this already i just can t seem to find it 	android
i have a collection of objects that are guaranteed to be distinct in particular indexed by a unique integer id i also know exactly how many of them there are and the number won t change and was wondering whether array would have a notable performance advantage over hashset for storing retrieving said elements on paper array guarantees constant time insertion since i know the size ahead of time and retrieval but the code for hashset looks much cleaner and adds some flexibility so i m wondering if i m losing anything performance wise using it at least theoretically 	java
i have some code below the problem i don t understand is why i don t have to refer to children object via this children but then accessing the firstname or surname i have to use this firstname please help me understand why function user first sur var firstname var surname var age var children this firstname first this surname sur this getdisplayname function return this firstname + + this surname this gettotallength function return this firstname length + this surname length this displayfullname function return this firstname + + this surname this changemaidenname function newsurname if newsurname this surname newsurname this addchild function childuser children push childuser this numberofchildren function return children length this killchild function childuser children foreach function item index if item firstname childuser firstname amp amp item surname childuser surname children splice index 1 module exports user user 	javascript
first time poster so sorry if this is too long but i ve hit a wall and don t know what else to try i m making a matrices calculator and doing so with c and wpf i ve been spending the last hour trying to figure out what s wrong with my array iterator to view and edit the values in a 2d nxn array to get a better idea my project so far requires the user to input a size n to make the array it ll generate a 2d int array of size nxn of 0 s and start at the default position of 0 0 from there the user can edit the value going from left to right top to bottom editing the whole array i have 2 private global ints one that keeps track of the row position and one that keeps track of the column position and manipulating these numbers to edit that part of the array the iterations starts off fine going 0 0 0 1 however instead of going from 0 1 0 2 like it should it jumps to 1 1 i ve gone countless times over my if logic and can t find where i m doing it wrong though i have yet to test the traversing back right to left bottom to top yet but since it s logic is nearly identical i m assuming it ll have the same problems i m currently having many thanks if someone could point me where in my logic it s flawed so i can move onto coding up the other parts my code is as follows private int matrix matrix currently being edited private int row keeps track of current row position and set to 0 when matrix is made private int col keeps track of current column position and set to 0 when matrix is made private void previouspos_click object sender routedeventargs e console writeline row + row + r n col + col if row lt 0 amp amp col lt 0 textblock1 text no previous values to edit row 0 col 0 positiondisplay text + col + + row else if row lt 0 amp amp col lt 3 setvalue row col valuedisplay text row 2 col 1 displaymatrix matrix positiondisplay text + col + + row else setvalue row col valuedisplay text row 1 displaymatrix matrix positiondisplay text + col + + row private void nextpos_click object sender routedeventargs e console writeline row +row+ r ncol +col if row gt matrix getlength 0 amp amp col gt matrix getlength 1 textblock1 text no more values to edit row matrix getlength 0 1 col matrix getlength 1 1 positiondisplay text + col + + row else if row gt matrix getlength 0 amp amp col lt matrix getlength 1 setvalue row col valuedisplay text col + 1 row 0 displaymatrix matrix positiondisplay text + col + + row else setvalue row col valuedisplay text row + 1 displaymatrix matrix positiondisplay text + col + + row public void setvalue int currow int curcol string value col currow row curcol try matrix row col int parse value catch exception string messageboxtext please input a valid number string caption warning messageboxbutton button messageboxbutton ok messageboximage icon messageboximage warning messagebox show messageboxtext caption button icon edit fixed a typo i saw and willing to post more rest of code on request 	c#
i m using c with this syntax response appendheader refresh 2 url ordres aspx work on firefox and chrome using memorystream ms new memorystream try pdfexportoptions opts new pdfexportoptions opts showprintdialogonopen true xtrareport_pricipal exporttopdf ms opts ms seek 0 seekorigin begin byte report ms toarray page response contenttype application pdf page response clear page response outputstream write report 0 report length httpcontext current applicationinstance completerequest finally ms close response appendheader refresh 2 url ordres aspx but not on internet explorer how can i redirect the page after 2 sec on ie thanks in advance 	c#
i am new to this forum and also to ganglia we are trying to capture jvm metrics through ganglia i have followed the steps through this link https github com ganglia jmxetric high level installation unzip the archive add the following to your jvm java javaagent lt path gt jmxetric jar host port config process usual java main class demo quickstart this example works for version 1 0 6 of jmxetric and gmetric4j ensure you have a gmond running on localhost 8649 pgrep gmond should return a valid pid nc localhost 8649 dumps some xml to stdout git clone same link as above download jmxetric jar gmetric4j jar and oncrpc 1 0 7 jar all into the same directory cd jmxetric in bash do export config host localhost port 8649 wireformat31x true config etc jmxetric xml java djava util logging config file etc logging properties cp gmetric4j 1 0 6 jar oncrpc 1 0 7 jar jmxetric 1 0 6 jar javaagent jmxetric 1 0 4 jar config info ganglia jmxetric jmxetricagent but when i add the jvm argument in was its not coming up and native sterr logs shows jmxetricagent instrumented jvm see same link what i have used test wakeup and then in around every 10 mints it keeps on writing test wakeup but instance does not starts also i have tried to run java command through command line like this root hostname var java javaagent etc ganglia jmxmetric jmxetric master jmxetric 1 0 6 jar host hostname port 8649 mode unicast wireformat31x true config etc ganglia jmxmetric jmxetric master jmxetric xml process hostanem_m01 info ganglia jmxetric jmxetricagent getting same response jmxetricagent instrumented jvm test wakeup can you all please suggest as what i am doing wrong here thanks much in advance its been a week i am struggling with this 	java
i write some application which cooperate with www server in brief my application need to work some like that application send some data to www server server get this data and then he return xml file or url to this xml file then application download this xml file and close connection here is my code with send file to server public void sendtoserver string filename extendedlog i tag sendtoserver httpurlconnection connection null dataoutputstream outputstream null datainputstream inputstream null string pathtoourfile unsenddirectory + file separator + filename string pathtocopyfile senddirectory + file separator + filename file file new file pathtoourfile file copyfile new file pathtocopyfile string lineend r n string twohyphens string boundary int bytesread bytesavailable buffersize byte buffer int maxbuffersize 1 1024 1024 try fileinputstream fileinputstream new fileinputstream file url url new url urlserver connection httpurlconnection url openconnection allow inputs amp outputs connection setdoinput true connection setdooutput true connection setusecaches false enable post method connection setrequestmethod post connection setrequestproperty connection keep alive connection setrequestproperty content type multipart form data boundary +boundary outputstream new dataoutputstream connection getoutputstream outputstream writebytes twohyphens + boundary + lineend outputstream writebytes content disposition form data name uploadedfile filename + pathtoourfile + + lineend outputstream writebytes lineend bytesavailable fileinputstream available buffersize math min bytesavailable maxbuffersize buffer new byte buffersize read file bytesread fileinputstream read buffer 0 buffersize while bytesread gt 0 outputstream write buffer 0 buffersize bytesavailable fileinputstream available buffersize math min bytesavailable maxbuffersize bytesread fileinputstream read buffer 0 buffersize outputstream writebytes lineend outputstream writebytes twohyphens + boundary + twohyphens + lineend responses from the server code and message int serverresponsecode connection getresponsecode string serverresponsemessage connection getresponsemessage fileinputstream close outputstream flush outputstream close log i odpowiedz serverresponsemessage if sendfileproblem sendfileproblem false inputstream in new fileinputstream file for append the file outputstream out new fileoutputstream f2 true for overwrite the file outputstream out new fileoutputstream copyfile byte buf new byte 1024 int len while len in read buf gt 0 out write buf 0 len in close out close file delete catch exception ex log i wyjatek ex getmessage if sendfileproblem false healthcareapplication shownotification r drawable internet send file problem problem with sending file occurred null 2 null sendfileproblem true and here is my php server lt php target_path target_path target_path basename _files uploadedfile name if move_uploaded_file _files uploadedfile tmp_name target_path echo the file basename _files uploadedfile name has been uploaded else echo there was an error uploading the file please try again gt my problem is that i really dont know how to return some file from php script and how to download this file from java can anyone give me some tip how i can do it thanks for any help 	android php
i have a problem about microsoft outlook how to create a mail template for outlook from an existing html file the template should let the user replace the images 	html
i created two virtual enviroments in the same vm pip freeze and pip list show the same installed packages the output from requests lib is different how can i see what makes them different should i provide some code requests 2 13 with security urllib 1 20 python 3 4 5 	python
i have created an app with laravel and i have a set of environments i want to run on the site as always the setup comes from the start php file where i declare the environments like so env app gt detectenvironment array local gt array mark macbook local development gt array excelsior servers prgn misp co uk production gt array excelsior servers prgn misp co uk i then create files in the root where server php is and create files that have the correct database details for each environment in like so env local php lt php return array database_host gt localhost database_name gt borough database_user gt root database_password gt root unix_socket gt applications mamp tmp mysql mysql sock env development php lt php return array database_host gt localhost database_name gt db name database_user gt db user database_password gt pass env production php etc etc then in my database php file in app config i have this setup connections gt array mysql gt array driver gt mysql host gt _env database_host unix_socket gt _env unix_socket database gt _env database_name username gt _env database_user password gt _env database_password charset gt utf8 collation gt utf8_unicode_ci prefix gt so this is all setup as how i know it usually works but when i run php artisan serve i get this error error type errorexception message undefined index database_host file freelance current projects borough build borough cc app config database php line 67 does anyone know why this would happen and what i may be doing wrong here cheers 	php
i return a list from a linq query and after it i have to fill the values in it with a for cycle the problem is that it is too slow var formentries from f in db bnetformentries join s in db bnetformstatus on f statusid value equals s statusid into entrystatus join s2 in db bnetformstatus on f externalstatusid value equals s2 statusid into entrystatus2 where f formid formid orderby f formentryid descending select new formentry formentryid f formentryid formid f formid ipaddress f ipaddress useragent f useragent createdby f createdby createddate f createddate updatedby f updatedby updateddate f updateddate statusid f statusid statustext entrystatus firstordefault status externalstatusid f externalstatusid externalstatustext entrystatus2 firstordefault status tolist and then i use the for in this way for var x 0 x lt formentries count x++ var values from e in entryvalues where e formentryid equals formentries elementat x formentryid select e tolist lt formentryvalue gt formentries elementat x values values return formentries todictionary entry gt entry formentryid entry gt entry but it is definitely too slow is there a way to make it faster 	c#
i m trying to dynamically generate alert components in react bootstrap at runtime by instantiating the components from javascript classes i m doing this because there are lots of alerts to show and because javascript classes are more succinct to create my attempts to do this are not working i m not sure whether the problem generally applies to react or just to react bootstrap however the error occurs in react js which throws the following typeerror undefined is not a function the throw occurs in the alert getcomponent call in the following jsx file jsx react dom var alert reactbootstrap alert var alertdismissible react createclass getinitialstate function return isvisible true render function if this state isvisible return null var message this props message if this props code null message message + code + this props code + return lt alert bsstyle this props level ondismiss this dismissalert gt lt p gt message lt p gt lt alert gt dismissalert function this setstate isvisible false function alertnotice level message code this level level this message message this code code null alertnotice prototype getcomponent function what should go here using react createclass doesn t help return lt alertdismissible level this level message this message code this code gt function successalert message alertnotice call this success message successalert prototype object create alertnotice successalert prototype constructor successalert more kinds of alerts function erroralert message code alertnotice call this danger message code erroralert prototype object create alertnotice erroralert prototype constructor erroralert var somethingwithalerts react createclass render function var alerts new erroralert goof 1 123 new erroralert goof 2 321 map function alert react js throws typeerror undefined is not a function return alert getcomponent return lt div gt alerts lt div gt var testcomponent lt div gt lt somethingwithalerts gt lt div gt react rendercomponent testcomponent document getelementbyid content the alert component comes from the react bootstrap library the div components seem extraneous but i found them necessary to satisfy the react framework in reality i ll be storing the alertnotice instances in react state and then generating react nodes from them what is the proper way to go about this here s a hint if i replace return alert getcomponent with the following hardcoded alert the alertdismissible components render without error in duplicate but i get a warning return lt alertdismissible level danger message goof code 777 gt the following is the warning message i get with the above replacement including a link that explains i should set key to a unique for each alert each child in an array should have a unique key prop check the render method of specimensetmanager see http fb me react warning keys for more information however if i simply replace the code inside of alertnotice prototype getcomponent with the above hardcoded alert i get the same typeerror message as before for completeness here is my html source this is react and react boostrap v0 11 1 lt html gt lt head gt lt script src lib react js gt lt script gt lt script src lib react bootstrap js gt lt script gt lt script src lib jsxtransformer js gt lt script gt lt link rel stylesheet href css bootstrap theme min css gt lt link rel stylesheet href css bootstrap min css gt lt head gt lt body gt lt div id content gt lt div gt lt script src components js type text jsx gt lt script gt lt body gt lt html gt 	javascript
i am having trouble understanding some of the short hand notation i am seeing in python would someone be able to explain the difference between these two functions please thank you def test1 first david last smith if first and last print last def test2 first david last smith print first and last 	python
i m trying to implement an algorithm which would find the best possible scale coefficient and the best possible angle to position the figure in such a way that it does not overlap with the edges of the container and it takes the best angle defined by the angle in which the figure is as wide as possible i m using a drawingvisual to represent the figure what i have in mind right now was a brute force check which looks something like this set scale to 1 while overlaps with end points in set verticies exists vertex which position x gt window width amp amp position y gt window height amp amp position x lt 0 amp amp position y lt 0 for 0 360 check whether at this angle all the points are aligned correctly if yes save the result as the last valid tuple angle and scale and continue increase scale by a constant if anyone is aware of such an implementation already available online please do share otherwise give me a word about what you think of that what i m currently thinking on edit you can always consider that the center point of the figure is located on the center of the screen 	c#
in source code of the nstask i ve found interesting place in method waituntilexit void waituntilexit nstimer timer nil while self isrunning nsdate limit nsdate alloc initwithtimeintervalsincenow 0 1 if timer nil timer nstimer scheduledtimerwithtimeinterval 0 1 target nil selector selector class userinfo nil repeats yes nsrunloop currentrunloop runmode nsdefaultrunloopmode beforedate limit release limit timer invalidate i can t understand purpose of nstimer here and whose method class will be called 	ios
